participants,midterms,average sleep,average quality,average mood,midterm sleep,midterm quality,midterm mood
1,2,8,8,7,7,9,5
2,2,7,7,8,7,7,7
3,3,8,8,9,6,8,6
4,1,7,9,8,7,7,9
5,4,6,8,8,7,8,7
6,2,7,8,8,7,7,8
7,3,8,8,8,6,6,6
8,2,9,7,7,7,8,7
9,4,7,8,8,6,7,6
10,3,6,7,9,6,7,7
11,3,8,6,8,8,6,8
12,3,8,9,8,7,6,6
13,2,8,8,7,6,8,7
14,2,7,7,8,7,7,6
15,1,9,6,7,7,6,9
16,3,9,6,7,6,7,7
17,2,8,8,8,7,7,8
18,3,9,10,9,6,9,6
19,2,7,7,7,7,7,7
20,4,8,8,8,7,6,7
21,2,9,6,8,6,7,6
22,3,7,8,7,8,8,6
23,2,6,8,8,8,7,7
24,2,7,7,8,8,6,7
25,3,8,9,8,7,8,6
26,2,9,7,9,8,6,6
27,2,7,8,8,7,7,7
28,3,8,6,7,7,8,8
29,3,7,7,9,7,8,7
31,2,7,6,10,1,10,10
32,1,8,8,8,8,7,8
